manufacturer,category,fuel_type,engine_volume,mileage,price
BMW,Jeep,Petrol,4.6,58000,17249
CHEVROLET,Sedan,Petrol,1.8,77906,9095
HONDA,Universal,Petrol,2.4,1111,8000
HYUNDAI,Sedan,LPG,2.0,498815,9252
BMW,Jeep,Petrol,4.8,145000,21012
HONDA,Hatchback,Petrol,1.5,55948,26858
HYUNDAI,Sedan,Petrol,2.4,0,18503
HYUNDAI,Jeep,Diesel,1.7,71991,38229
MERCEDES-BENZ,Jeep,Petrol,2.0,55704,47669
NISSAN,Jeep,Petrol,4.0,145000,19500
MERCEDES-BENZ,Coupe,Petrol,1.8,67680,32929
TOYOTA,Hatchback,Hybrid,1.8,131200,17249
FORD,Sedan,Hybrid,2.0,122000,23521
NISSAN,Hatchback,Petrol,1.5,130000,7527
CHEVROLET,Sedan,Petrol,1.8,28000,9408
LEXUS,Jeep,Petrol,4.6,273493,61154
HYUNDAI,Sedan,Petrol,2.0,36215,50341
TOYOTA,Sedan,Petrol,1.5,99600,16383
HYUNDAI,Sedan,LPG,2.0,32000,9565
TOYOTA,Jeep,Diesel,2.2,225000,18189
MERCEDES-BENZ,Jeep,Petrol,2.0,109608,17562
HYUNDAI,Sedan,Petrol,2.0,204632,15257
HYUNDAI,Sedan,LPG,2.0,38600,9879
HYUNDAI,Sedan,Petrol,2.0,175221,19416
FORD,Jeep,Hybrid,2.3,160000,15681
MERCEDES-BENZ,Sedan,CNG,2.0,180003,7840
FORD,Microbus,Diesel,2.4,286000,19757
TOYOTA,Sedan,Hybrid,2.5,0,5959
CHEVROLET,Sedan,Petrol,1.4,61100,15367
VOLKSWAGEN,Sedan,Petrol,2.0,125000,25716
TOYOTA,Hatchback,Petrol,1.5,52000,24148
MERCEDES-BENZ,Jeep,Petrol,3.5,55403,7527
HYUNDAI,Sedan,Petrol,3.3,93000,26657
NISSAN,Jeep,Petrol,1.6,167405,8781
CHEVROLET,Sedan,Petrol,1.4,26585,15524
HONDA,Hatchback,Petrol,1.3,147857,14115
TOYOTA,Sedan,Hybrid,1.5,250000,16621
HONDA,Hatchback,Hybrid,1.3,81000,12544
TOYOTA,Sedan,Petrol,2.5,45490,23207
HYUNDAI,Sedan,Petrol,2.0,176635,13953
NISSAN,Jeep,CNG,2.0,167000,10349
CHEVROLET,Sedan,Petrol,1.4,33548,16151
TOYOTA,Sedan,Hybrid,2.5,214098,23521
HYUNDAI,Sedan,Hybrid,2.4,102400,15053
HYUNDAI,Jeep,Diesel,2.0,134761,49751
TOYOTA,Hatchback,Hybrid,1.8,166400,17249
LEXUS,Jeep,Petrol,4.6,220000,51746
CHEVROLET,Sedan,Petrol,2.0,108630,28909
HYUNDAI,Jeep,Diesel,2.0,157612,42692
HYUNDAI,Jeep,Diesel,2.0,151000,36068
TOYOTA,Jeep,Petrol,2.5,150400,25089
LEXUS,Jeep,Petrol,5.7,17700,260296
HONDA,Sedan,Petrol,2.4,0,87497
TOYOTA,Sedan,Petrol,2.5,54000,25086
AUDI,Sedan,Petrol,3.0,50000,67000
CHEVROLET,Hatchback,Petrol,1.4,13,17562
BMW,Sedan,Petrol,2.0,144000,26657
MERCEDES-BENZ,Jeep,Petrol,4.7,155313,35752
TOYOTA,Hatchback,Hybrid,1.8,195000,19757
HYUNDAI,Sedan,Petrol,2.0,122426,13953
CHEVROLET,Sedan,Petrol,1.8,135702,12570
TOYOTA,Sedan,Petrol,2.5,115000,15681
TOYOTA,Sedan,Hybrid,2.5,190549,5018
NISSAN,Jeep,Petrol,4.0,188200,13485
TOYOTA,Jeep,Petrol,2.7,265558,14583
HYUNDAI,Sedan,Petrol,2.0,148769,13877
HONDA,Hatchback,Petrol,1.3,109839,14831
HYUNDAI,Jeep,Diesel,2.0,193926,20005
LEXUS,Jeep,Petrol,4.7,264339,30734
TOYOTA,Hatchback,Petrol,1.0,179000,9000
HYUNDAI,Sedan,Petrol,1.8,78000,17249
LEXUS,Hatchback,Hybrid,1.8,208000,21953
HYUNDAI,Jeep,Diesel,2.0,125000,25889
HYUNDAI,Sedan,Petrol,1.6,112243,19121
TOYOTA,Sedan,Petrol,2.5,77803,21796
MERCEDES-BENZ,Sedan,Petrol,5.0,25000,9408
MERCEDES-BENZ,Sedan,Diesel,2.2,215000,9722
CHEVROLET,Sedan,Petrol,2.0,93087,45210
TOYOTA,Sedan,Hybrid,1.5,216000,10663
HYUNDAI,Sedan,Hybrid,2.0,71218,5018
TOYOTA,Sedan,Petrol,1.8,87000,21012
CHEVROLET,Sedan,Petrol,1.6,119806,11704
TOYOTA,Hatchback,Hybrid,1.5,320000,9408
VOLKSWAGEN,Jeep,Petrol,2.0,155000,25089
HYUNDAI,Universal,Diesel,2.5,100856,44542
CHEVROLET,Jeep,Diesel,2.2,57293,28589
TOYOTA,Sedan,Petrol,2.5,28784,27911
HYUNDAI,Sedan,Petrol,1.6,37509,15336
HONDA,Hatchback,Hybrid,1.4,0,10192
MERCEDES-BENZ,Minivan,Diesel,3.0,180000,26657
HONDA,Sedan,Petrol,1.5,42857,68144
HYUNDAI,Sedan,LPG,2.0,490516,8467
TOYOTA,Sedan,Petrol,1.8,185000,17876
VOLKSWAGEN,Hatchback,Petrol,1.6,144000,9095
LEXUS,Sedan,Petrol,3.5,25000,100355
HYUNDAI,Sedan,Petrol,2.0,112161,21326
TOYOTA,Sedan,Hybrid,2.5,109798,5488
HYUNDAI,Minivan,Diesel,2.5,21442,83107
HYUNDAI,Sedan,Petrol,1.6,128147,17484
VOLKSWAGEN,Sedan,CNG,2.8,282000,7213
TOYOTA,Sedan,Petrol,2.5,151610,7527
HYUNDAI,Sedan,Petrol,1.6,132967,13476
TOYOTA,Sedan,Hybrid,1.8,130000,18817
TOYOTA,Hatchback,Hybrid,1.8,228751,14113
FORD,Sedan,Petrol,2.0,90000,15681
BMW,Coupe,Diesel,2.0,142000,10663
TOYOTA,Sedan,Hybrid,1.8,130000,17249
CHEVROLET,Jeep,Diesel,2.2,68000,23389
NISSAN,Hatchback,Petrol,1.5,145000,10000
HONDA,Hatchback,Hybrid,1.5,160000,17249
TOYOTA,Sedan,Petrol,1.5,78400,17249
HONDA,Sedan,Petrol,2.0,41747,50526
LEXUS,Jeep,Petrol,4.6,275240,15681
BMW,Coupe,Petrol,3.0,157000,22894
HYUNDAI,Sedan,Petrol,1.6,344193,51517
HYUNDAI,Universal,Diesel,2.5,110846,44843
TOYOTA,Sedan,Petrol,2.5,6800,53314
FORD,Jeep,Hybrid,2.0,74000,20385
TOYOTA,Sedan,Petrol,2.5,60117,5959
VOLKSWAGEN,Sedan,Petrol,2.0,189000,19757
MERCEDES-BENZ,Microbus,Diesel,2.2,130000,40456
TOYOTA,Jeep,Petrol,2.0,38712,10349
TOYOTA,Jeep,Petrol,3.5,115200,39201
TOYOTA,Hatchback,Hybrid,1.8,114458,20385
BMW,Jeep,CNG,3.0,345000,14113
HYUNDAI,Sedan,Petrol,2.0,200867,17035
TOYOTA,Jeep,Petrol,4.0,283200,40142
HYUNDAI,Sedan,LPG,1.6,47181,36137
VOLKSWAGEN,Jeep,Petrol,2.0,90000,25089
LEXUS,Jeep,Petrol,4.6,188078,5018
TOYOTA,Sedan,Hybrid,2.5,89600,46101
NISSAN,Jeep,Petrol,1.6,158000,17249
NISSAN,Jeep,Petrol,2.0,240000,18000
TOYOTA,Jeep,Petrol,2.0,19834,21012
HYUNDAI,Sedan,Petrol,2.0,75938,69502
VOLKSWAGEN,Sedan,Petrol,2.5,84000,16935
TOYOTA,Hatchback,Petrol,1.5,69000,18117
TOYOTA,Sedan,Petrol,2.5,155200,19761
HYUNDAI,Minivan,Diesel,2.5,49140,15367
FORD,Sedan,Petrol,1.6,129600,20385
TOYOTA,Minivan,Petrol,3.5,184960,37633
HYUNDAI,Sedan,Hybrid,2.0,71218,5018
HONDA,Hatchback,Petrol,1.3,52320,17264
FORD,Sedan,Petrol,1.5,10457,23991
CHEVROLET,Sedan,Petrol,1.0,30901,11604
MERCEDES-BENZ,Sedan,Diesel,3.5,189530,12388
CHEVROLET,Jeep,Petrol,3.6,91822,10506
HONDA,Minivan,LPG,2.0,160000,15367
HYUNDAI,Sedan,Petrol,1.6,128965,12585
FORD,Sedan,Petrol,1.6,8200,22200
FORD,Sedan,Petrol,2.0,54000,14113
MERCEDES-BENZ,Sedan,CNG,3.2,224643,8467
TOYOTA,Sedan,Hybrid,1.5,297600,10976
HYUNDAI,Minivan,Diesel,2.5,120805,22266
HYUNDAI,Jeep,Diesel,2.0,155300,22947
HYUNDAI,Jeep,Diesel,2.0,145329,50049
CHEVROLET,Sedan,Petrol,1.4,216000,7527
BMW,Jeep,Diesel,3.0,0,10349
MERCEDES-BENZ,Sedan,Petrol,3.5,220000,18189
FORD,Sedan,Petrol,1.6,155300,20300
HYUNDAI,Sedan,Petrol,2.0,31200,17876
CHEVROLET,Sedan,Petrol,1.4,74222,15053
NISSAN,Minivan,LPG,2.0,125745,10036
HYUNDAI,Jeep,Diesel,2.0,173169,17923
NISSAN,Jeep,Petrol,2.0,135000,11604
TOYOTA,Sedan,Petrol,3.5,17542,31047
HYUNDAI,Sedan,Petrol,1.6,104900,27065
TOYOTA,Sedan,Petrol,2.5,72000,22266
LEXUS,Sedan,Hybrid,2.5,98032,10192
NISSAN,Sedan,Petrol,1.5,133000,8467
TOYOTA,Jeep,Petrol,3.5,140966,23521
HYUNDAI,Jeep,Diesel,2.0,195996,38562
FORD,Hatchback,Petrol,1.6,50393,16621
MERCEDES-BENZ,Sedan,Diesel,3.5,107800,5802
HYUNDAI,Coupe,Petrol,1.6,113000,11917
TOYOTA,Hatchback,Hybrid,1.8,257000,13485
HYUNDAI,Jeep,Diesel,2.0,118926,39226
HONDA,Hatchback,Petrol,1.5,146500,9252
HYUNDAI,Jeep,Diesel,2.0,85540,51075
HYUNDAI,Jeep,Diesel,2.0,140633,45138
HYUNDAI,Coupe,Petrol,2.0,81384,15825
MERCEDES-BENZ,Sedan,Diesel,2.2,320000,6899
MERCEDES-BENZ,Jeep,Petrol,3.5,129000,28225
TOYOTA,Jeep,Petrol,2.5,16500,47042
MERCEDES-BENZ,Hatchback,LPG,1.9,200000,7527
FORD,Sedan,Petrol,2.0,32960,19757
LEXUS,Jeep,Petrol,4.6,188078,73071
HONDA,Universal,Hybrid,1.3,98000,9000
TOYOTA,Sedan,Hybrid,2.5,85000,26657
AUDI,Sedan,Petrol,2.0,167000,17249
VOLKSWAGEN,Sedan,Petrol,1.8,62022,10036
MERCEDES-BENZ,Sedan,Diesel,3.5,219030,29793
HYUNDAI,Sedan,Diesel,1.6,142495,19130
TOYOTA,Pickup,Diesel,3.0,163000,54882
FORD,Hatchback,Petrol,2.0,121000,13485
TOYOTA,Hatchback,Hybrid,1.5,117000,15681
FORD,Jeep,Hybrid,2.3,147000,17249
MERCEDES-BENZ,Sedan,Diesel,1.6,205000,53314
HYUNDAI,Universal,Diesel,2.5,119552,38737
HYUNDAI,Sedan,LPG,2.0,325139,11290
BMW,Sedan,LPG,2.2,110000,11604
HYUNDAI,Sedan,Petrol,1.6,80861,15423
LEXUS,Jeep,CNG,4.7,175000,28225
HYUNDAI,Sedan,Petrol,1.6,133783,19679
TOYOTA,Sedan,Hybrid,1.5,288000,13485
FORD,Goods wagon,Diesel,2.2,190000,15994
MERCEDES-BENZ,Sedan,Diesel,3.5,119379,16621
TOYOTA,Sedan,Petrol,3.5,210538,7213
MERCEDES-BENZ,Sedan,Diesel,3.5,109139,5018
